encoder_length,time_idx,year,month,day,hour,minute,relative_time_idx,quantity_MW,quantity_MW_lead1_pred,quantity_MW_lead2_pred,quantity_MW_lead3_pred,quantity_MW_lead4_pred,quantity_MW_lead5_pred,quantity_MW_lead6_pred,quantity_MW_lead7_pred,quantity_MW_lead8_pred,quantity_MW_lead9_pred,quantity_MW_lead10_pred,quantity_MW_lead11_pred,quantity_MW_lead12_pred,quantity_MW_lead13_pred,quantity_MW_lead14_pred,quantity_MW_lead15_pred,quantity_MW_lead16_pred,quantity_MW_lead17_pred,quantity_MW_lead18_pred,quantity_MW_lead19_pred,quantity_MW_lead20_pred,quantity_MW_lead21_pred,quantity_MW_lead22_pred,quantity_MW_lead23_pred,quantity_MW_lead24_pred,quantity_MW_lead25_pred,quantity_MW_lead26_pred,quantity_MW_lead27_pred,quantity_MW_lead28_pred,quantity_MW_lead29_pred,quantity_MW_lead30_pred,quantity_MW_lead31_pred,quantity_MW_lead32_pred,quantity_MW_lead33_pred,quantity_MW_lead34_pred,quantity_MW_lead35_pred,quantity_MW_lead36_pred,quantity_MW_lead37_pred,quantity_MW_lead38_pred,quantity_MW_lead39_pred,quantity_MW_lead40_pred,quantity_MW_lead41_pred,quantity_MW_lead42_pred,quantity_MW_lead43_pred,quantity_MW_lead44_pred,quantity_MW_lead45_pred,quantity_MW_lead46_pred,quantity_MW_lead47_pred,quantity_MW_lead48_pred,quantity_MW_lead49_pred,quantity_MW_lead50_pred,quantity_MW_lead51_pred,quantity_MW_lead52_pred,quantity_MW_lead53_pred,quantity_MW_lead54_pred,quantity_MW_lead55_pred,quantity_MW_lead56_pred,quantity_MW_lead57_pred,quantity_MW_lead58_pred,quantity_MW_lead59_pred,quantity_MW_lead60_pred,quantity_MW_lead61_pred,quantity_MW_lead62_pred,quantity_MW_lead63_pred,quantity_MW_lead64_pred,quantity_MW_lead65_pred,quantity_MW_lead66_pred,quantity_MW_lead67_pred,quantity_MW_lead68_pred,quantity_MW_lead69_pred,quantity_MW_lead70_pred,quantity_MW_lead71_pred,quantity_MW_lead72_pred,quantity_MW_lead1_true,quantity_MW_lead2_true,quantity_MW_lead3_true,quantity_MW_lead4_true,quantity_MW_lead5_true,quantity_MW_lead6_true,quantity_MW_lead7_true,quantity_MW_lead8_true,quantity_MW_lead9_true,quantity_MW_lead10_true,quantity_MW_lead11_true,quantity_MW_lead12_true,quantity_MW_lead13_true,quantity_MW_lead14_true,quantity_MW_lead15_true,quantity_MW_lead16_true,quantity_MW_lead17_true,quantity_MW_lead18_true,quantity_MW_lead19_true,quantity_MW_lead20_true,quantity_MW_lead21_true,quantity_MW_lead22_true,quantity_MW_lead23_true,quantity_MW_lead24_true,quantity_MW_lead25_true,quantity_MW_lead26_true,quantity_MW_lead27_true,quantity_MW_lead28_true,quantity_MW_lead29_true,quantity_MW_lead30_true,quantity_MW_lead31_true,quantity_MW_lead32_true,quantity_MW_lead33_true,quantity_MW_lead34_true,quantity_MW_lead35_true,quantity_MW_lead36_true,quantity_MW_lead37_true,quantity_MW_lead38_true,quantity_MW_lead39_true,quantity_MW_lead40_true,quantity_MW_lead41_true,quantity_MW_lead42_true,quantity_MW_lead43_true,quantity_MW_lead44_true,quantity_MW_lead45_true,quantity_MW_lead46_true,quantity_MW_lead47_true,quantity_MW_lead48_true,quantity_MW_lead49_true,quantity_MW_lead50_true,quantity_MW_lead51_true,quantity_MW_lead52_true,quantity_MW_lead53_true,quantity_MW_lead54_true,quantity_MW_lead55_true,quantity_MW_lead56_true,quantity_MW_lead57_true,quantity_MW_lead58_true,quantity_MW_lead59_true,quantity_MW_lead60_true,quantity_MW_lead61_true,quantity_MW_lead62_true,quantity_MW_lead63_true,quantity_MW_lead64_true,quantity_MW_lead65_true,quantity_MW_lead66_true,quantity_MW_lead67_true,quantity_MW_lead68_true,quantity_MW_lead69_true,quantity_MW_lead70_true,quantity_MW_lead71_true,quantity_MW_lead72_true
1.0,-1.1140283,0.0,-0.43475586,-1.4492735,-0.5136633,0.0,0.29583332,0.74578714,24070.633,23956.037,23837.32,23720.275,23597.598,23485.857,23391.701,23315.715,23255.068,23206.602,23167.549,23135.684,23109.281,23087.04,23067.979,23051.375,23036.688,23023.518,23011.57,23000.627,22990.525,22981.139,22972.377,22964.162,22956.436,22949.148,22942.254,22935.723,22929.521,22923.623,22918.004,22912.643,22907.52,22902.62,22897.928,22893.428,22889.111,22884.965,22880.979,22877.146,22873.455,22869.904,22866.48,22863.184,22860.004,22856.938,22853.98,22851.129,22848.379,22845.725,22843.164,22840.695,22838.314,22836.018,22833.803,22831.668,22829.61,22827.629,22825.72,22823.883,22822.115,22820.416,22818.781,22817.213,22815.705,22814.26,22812.873,22811.547,22810.277,22809.064,22807.906,22806.803,22712.0,23160.0,23404.0,24016.0,23716.0,23204.0,23772.0,24564.0,25412.0,26244.0,27744.0,28104.0,26600.0,24712.0,23232.0,22080.0,21256.0,20732.0,20720.0,21584.0,24916.0,27104.0,28184.0,29132.0,28564.0,27764.0,27940.0,27968.0,27392.0,27040.0,27536.0,28260.0,29072.0,29716.0,30852.0,30156.0,27524.0,25040.0,24320.0,23284.0,22476.0,22148.0,22096.0,22960.0,25688.0,27612.0,28344.0,28636.0,28172.0,27796.0,27952.0,28340.0,27756.0,27180.0,27816.0,29008.0,29472.0,30392.0,31964.0,31248.0,28420.0,26068.0,25032.0,23876.0,23072.0,22564.0,22560.0,23244.0,25976.0,27908.0,28868.0,28756.0
1.0,-1.1120442,0.0,-0.43475586,-1.4492735,-0.369242,0.0,0.29583332,0.7225861,24069.2,23956.121,23838.506,23722.156,23600.012,23488.629,23394.65,23318.71,23258.04,23209.496,23170.34,23138.36,23111.844,23089.49,23070.328,23053.629,23038.852,23025.6,23013.576,23002.564,22992.398,22982.957,22974.14,22965.879,22958.11,22950.781,22943.852,22937.29,22931.057,22925.133,22919.488,22914.105,22908.965,22904.05,22899.344,22894.832,22890.504,22886.348,22882.355,22878.516,22874.82,22871.266,22867.842,22864.543,22861.363,22858.3,22855.346,22852.498,22849.752,22847.104,22844.55,22842.088,22839.713,22837.426,22835.219,22833.094,22831.047,22829.074,22827.176,22825.352,22823.596,22821.906,22820.285,22818.727,22817.234,22815.8,22814.43,22813.115,22811.86,22810.66,22809.516,22808.426,23160.0,23404.0,24016.0,23716.0,23204.0,23772.0,24564.0,25412.0,26244.0,27744.0,28104.0,26600.0,24712.0,23232.0,22080.0,21256.0,20732.0,20720.0,21584.0,24916.0,27104.0,28184.0,29132.0,28564.0,27764.0,27940.0,27968.0,27392.0,27040.0,27536.0,28260.0,29072.0,29716.0,30852.0,30156.0,27524.0,25040.0,24320.0,23284.0,22476.0,22148.0,22096.0,22960.0,25688.0,27612.0,28344.0,28636.0,28172.0,27796.0,27952.0,28340.0,27756.0,27180.0,27816.0,29008.0,29472.0,30392.0,31964.0,31248.0,28420.0,26068.0,25032.0,23876.0,23072.0,22564.0,22560.0,23244.0,25976.0,27908.0,28868.0,28756.0,28672.0
1.0,-1.1100602,0.0,-0.43475586,-1.4492735,-0.22482073,0.0,0.29583332,0.79660845,24067.748,23956.135,23839.596,23723.93,23602.312,23491.29,23397.492,23321.61,23260.918,23212.307,23173.055,23140.969,23114.342,23091.883,23072.621,23055.828,23040.965,23027.635,23015.54,23004.46,22994.234,22984.736,22975.871,22967.562,22959.752,22952.385,22945.422,22938.826,22932.568,22926.617,22920.953,22915.55,22910.393,22905.46,22900.74,22896.219,22891.879,22887.715,22883.717,22879.871,22876.174,22872.617,22869.191,22865.893,22862.717,22859.654,22856.703,22853.86,22851.117,22848.477,22845.93,22843.473,22841.107,22838.828,22836.63,22834.516,22832.479,22830.518,22828.63,22826.816,22825.072,22823.396,22821.785,22820.24,22818.76,22817.34,22815.982,22814.682,22813.44,22812.254,22811.121,22810.045,23404.0,24016.0,23716.0,23204.0,23772.0,24564.0,25412.0,26244.0,27744.0,28104.0,26600.0,24712.0,23232.0,22080.0,21256.0,20732.0,20720.0,21584.0,24916.0,27104.0,28184.0,29132.0,28564.0,27764.0,27940.0,27968.0,27392.0,27040.0,27536.0,28260.0,29072.0,29716.0,30852.0,30156.0,27524.0,25040.0,24320.0,23284.0,22476.0,22148.0,22096.0,22960.0,25688.0,27612.0,28344.0,28636.0,28172.0,27796.0,27952.0,28340.0,27756.0,27180.0,27816.0,29008.0,29472.0,30392.0,31964.0,31248.0,28420.0,26068.0,25032.0,23876.0,23072.0,22564.0,22560.0,23244.0,25976.0,27908.0,28868.0,28756.0,28672.0,28940.0
1.0,-1.1080762,0.0,-0.43475586,-1.4492735,-0.08039947,0.0,0.29583332,0.9391292,24066.277,23956.082,23840.594,23725.598,23604.502,23493.836,23400.23,23324.41,23263.705,23215.031,23175.691,23143.504,23116.775,23094.217,23074.857,23057.975,23043.03,23029.621,23017.457,23006.314,22996.027,22986.479,22977.564,22969.21,22961.36,22953.957,22946.963,22940.338,22934.055,22928.08,22922.395,22916.973,22911.799,22906.854,22902.121,22897.586,22893.24,22889.07,22885.064,22881.215,22877.514,22873.955,22870.53,22867.232,22864.057,22860.998,22858.053,22855.213,22852.477,22849.842,22847.3,22844.855,22842.496,22840.227,22838.04,22835.934,22833.906,22831.957,22830.08,22828.277,22826.545,22824.88,22823.283,22821.75,22820.283,22818.877,22817.531,22816.244,22815.016,22813.842,22812.725,22811.66,24016.0,23716.0,23204.0,23772.0,24564.0,25412.0,26244.0,27744.0,28104.0,26600.0,24712.0,23232.0,22080.0,21256.0,20732.0,20720.0,21584.0,24916.0,27104.0,28184.0,29132.0,28564.0,27764.0,27940.0,27968.0,27392.0,27040.0,27536.0,28260.0,29072.0,29716.0,30852.0,30156.0,27524.0,25040.0,24320.0,23284.0,22476.0,22148.0,22096.0,22960.0,25688.0,27612.0,28344.0,28636.0,28172.0,27796.0,27952.0,28340.0,27756.0,27180.0,27816.0,29008.0,29472.0,30392.0,31964.0,31248.0,28420.0,26068.0,25032.0,23876.0,23072.0,22564.0,22560.0,23244.0,25976.0,27908.0,28868.0,28756.0,28672.0,28940.0,29456.0
1.0,-1.1060922,0.0,-0.43475586,-1.4492735,0.064021796,0.0,0.29583332,0.97006387,24064.793,23955.963,23841.502,23727.164,23606.584,23496.273,23402.863,23327.113,23266.402,23217.678,23178.254,23145.975,23119.146,23096.49,23077.04,23060.07,23045.045,23031.562,23019.33,23008.125,22997.783,22988.182,22979.223,22970.828,22962.938,22955.5,22948.477,22941.822,22935.514,22929.518,22923.812,22918.375,22913.186,22908.225,22903.482,22898.938,22894.584,22890.406,22886.396,22882.545,22878.844,22875.283,22871.857,22868.562,22865.39,22862.334,22859.393,22856.559,22853.83,22851.2,22848.668,22846.229,22843.879,22841.617,22839.44,22837.346,22835.328,22833.39,22831.525,22829.734,22828.012,22826.361,22824.777,22823.256,22821.8,22820.408,22819.074,22817.8,22816.586,22815.426,22814.322,22813.27,23716.0,23204.0,23772.0,24564.0,25412.0,26244.0,27744.0,28104.0,26600.0,24712.0,23232.0,22080.0,21256.0,20732.0,20720.0,21584.0,24916.0,27104.0,28184.0,29132.0,28564.0,27764.0,27940.0,27968.0,27392.0,27040.0,27536.0,28260.0,29072.0,29716.0,30852.0,30156.0,27524.0,25040.0,24320.0,23284.0,22476.0,22148.0,22096.0,22960.0,25688.0,27612.0,28344.0,28636.0,28172.0,27796.0,27952.0,28340.0,27756.0,27180.0,27816.0,29008.0,29472.0,30392.0,31964.0,31248.0,28420.0,26068.0,25032.0,23876.0,23072.0,22564.0,22560.0,23244.0,25976.0,27908.0,28868.0,28756.0,28672.0,28940.0,29456.0,29568.0
1.0,-1.1041082,0.0,-0.43475586,-1.4492735,0.20844306,0.0,0.29583332,0.8761549,24063.29,23955.783,23842.324,23728.63,23608.559,23498.605,23405.39,23329.719,23269.01,23220.238,23180.744,23148.373,23121.453,23098.703,23079.164,23062.111,23047.01,23033.457,23021.158,23009.895,22999.5,22989.85,22980.844,22972.41,22964.484,22957.014,22949.959,22943.281,22936.95,22930.934,22925.209,22919.754,22914.55,22909.578,22904.824,22900.273,22895.912,22891.729,22887.717,22883.861,22880.158,22876.6,22873.176,22869.88,22866.713,22863.662,22860.723,22857.896,22855.174,22852.55,22850.027,22847.598,22845.256,22843.004,22840.838,22838.752,22836.746,22834.818,22832.967,22831.186,22829.477,22827.838,22826.266,22824.758,22823.316,22821.936,22820.617,22819.355,22818.154,22817.008,22815.916,22814.875,23204.0,23772.0,24564.0,25412.0,26244.0,27744.0,28104.0,26600.0,24712.0,23232.0,22080.0,21256.0,20732.0,20720.0,21584.0,24916.0,27104.0,28184.0,29132.0,28564.0,27764.0,27940.0,27968.0,27392.0,27040.0,27536.0,28260.0,29072.0,29716.0,30852.0,30156.0,27524.0,25040.0,24320.0,23284.0,22476.0,22148.0,22096.0,22960.0,25688.0,27612.0,28344.0,28636.0,28172.0,27796.0,27952.0,28340.0,27756.0,27180.0,27816.0,29008.0,29472.0,30392.0,31964.0,31248.0,28420.0,26068.0,25032.0,23876.0,23072.0,22564.0,22560.0,23244.0,25976.0,27908.0,28868.0,28756.0,28672.0,28940.0,29456.0,29568.0,29228.0
1.0,-1.1021241,0.0,-0.43475586,-1.4492735,0.35286433,0.0,0.29583332,0.7833507,24061.77,23955.54,23843.059,23730.0,23610.426,23500.826,23407.816,23332.229,23271.531,23222.723,23183.158,23150.705,23123.695,23100.857,23081.232,23064.102,23048.924,23035.305,23022.943,23011.621,23001.176,22991.479,22982.432,22973.959,22965.998,22958.498,22951.416,22944.713,22938.357,22932.324,22926.582,22921.113,22915.896,22910.914,22906.15,22901.592,22897.225,22893.037,22889.021,22885.164,22881.46,22877.902,22874.48,22871.191,22868.025,22864.979,22862.047,22859.227,22856.51,22853.895,22851.38,22848.957,22846.627,22844.385,22842.229,22840.154,22838.158,22836.242,22834.4,22832.633,22830.938,22829.309,22827.75,22826.256,22824.826,22823.459,22822.152,22820.906,22819.715,22818.582,22817.502,22816.477,23772.0,24564.0,25412.0,26244.0,27744.0,28104.0,26600.0,24712.0,23232.0,22080.0,21256.0,20732.0,20720.0,21584.0,24916.0,27104.0,28184.0,29132.0,28564.0,27764.0,27940.0,27968.0,27392.0,27040.0,27536.0,28260.0,29072.0,29716.0,30852.0,30156.0,27524.0,25040.0,24320.0,23284.0,22476.0,22148.0,22096.0,22960.0,25688.0,27612.0,28344.0,28636.0,28172.0,27796.0,27952.0,28340.0,27756.0,27180.0,27816.0,29008.0,29472.0,30392.0,31964.0,31248.0,28420.0,26068.0,25032.0,23876.0,23072.0,22564.0,22560.0,23244.0,25976.0,27908.0,28868.0,28756.0,28672.0,28940.0,29456.0,29568.0,29228.0,28892.0
1.0,-1.1001401,0.0,-0.43475586,-1.4492735,0.4972856,0.0,0.29583332,0.9037752,24060.236,23955.234,23843.71,23731.273,23612.193,23502.945,23410.143,23334.645,23273.963,23225.123,23185.498,23152.969,23125.875,23102.953,23083.246,23066.04,23050.791,23037.105,23024.686,23013.309,23002.814,22993.07,22983.984,22975.475,22967.48,22959.953,22952.844,22946.12,22939.742,22933.69,22927.934,22922.45,22917.22,22912.23,22907.457,22902.893,22898.521,22894.332,22890.312,22886.457,22882.752,22879.195,22875.775,22872.488,22869.328,22866.287,22863.361,22860.547,22857.838,22855.232,22852.725,22850.312,22847.992,22845.76,22843.611,22841.549,22839.564,22837.66,22835.83,22834.074,22832.39,22830.777,22829.23,22827.748,22826.332,22824.977,22823.684,22822.45,22821.271,22820.152,22819.086,22818.072,24564.0,25412.0,26244.0,27744.0,28104.0,26600.0,24712.0,23232.0,22080.0,21256.0,20732.0,20720.0,21584.0,24916.0,27104.0,28184.0,29132.0,28564.0,27764.0,27940.0,27968.0,27392.0,27040.0,27536.0,28260.0,29072.0,29716.0,30852.0,30156.0,27524.0,25040.0,24320.0,23284.0,22476.0,22148.0,22096.0,22960.0,25688.0,27612.0,28344.0,28636.0,28172.0,27796.0,27952.0,28340.0,27756.0,27180.0,27816.0,29008.0,29472.0,30392.0,31964.0,31248.0,28420.0,26068.0,25032.0,23876.0,23072.0,22564.0,22560.0,23244.0,25976.0,27908.0,28868.0,28756.0,28672.0,28940.0,29456.0,29568.0,29228.0,28892.0,29328.0
1.0,-1.0981561,0.0,-0.43475586,-1.4492735,0.6417069,0.0,0.29583332,1.1777685,24058.684,23954.871,23844.283,23732.453,23613.86,23504.959,23412.37,23336.967,23276.31,23227.447,23187.766,23155.164,23127.992,23104.99,23085.207,23067.926,23052.61,23038.861,23026.385,23014.957,23004.412,22994.627,22985.502,22976.957,22968.934,22961.377,22954.244,22947.496,22941.102,22935.033,22929.262,22923.766,22918.525,22913.525,22908.748,22904.178,22899.8,22895.61,22891.59,22887.732,22884.031,22880.477,22877.06,22873.777,22870.621,22867.586,22864.668,22861.86,22859.158,22856.562,22854.062,22851.66,22849.348,22847.127,22844.99,22842.938,22840.967,22839.072,22837.254,22835.512,22833.84,22832.238,22830.703,22829.236,22827.832,22826.49,22825.209,22823.988,22822.822,22821.715,22820.66,22819.66,25412.0,26244.0,27744.0,28104.0,26600.0,24712.0,23232.0,22080.0,21256.0,20732.0,20720.0,21584.0,24916.0,27104.0,28184.0,29132.0,28564.0,27764.0,27940.0,27968.0,27392.0,27040.0,27536.0,28260.0,29072.0,29716.0,30852.0,30156.0,27524.0,25040.0,24320.0,23284.0,22476.0,22148.0,22096.0,22960.0,25688.0,27612.0,28344.0,28636.0,28172.0,27796.0,27952.0,28340.0,27756.0,27180.0,27816.0,29008.0,29472.0,30392.0,31964.0,31248.0,28420.0,26068.0,25032.0,23876.0,23072.0,22564.0,22560.0,23244.0,25976.0,27908.0,28868.0,28756.0,28672.0,28940.0,29456.0,29568.0,29228.0,28892.0,29328.0,30320.0
1.0,-1.0961721,0.0,-0.43475586,-1.4492735,0.7861281,0.0,0.29583332,1.4263511,24057.12,23954.453,23844.773,23733.541,23615.426,23506.875,23414.496,23339.197,23278.574,23229.693,23189.965,23157.295,23130.049,23106.97,23087.113,23069.762,23054.38,23040.572,23028.041,23016.562,23005.975,22996.148,22986.986,22978.41,22970.355,22962.773,22955.617,22948.85,22942.438,22936.352,22930.566,22925.06,22919.812,22914.803,22910.02,22905.445,22901.064,22896.873,22892.852,22888.996,22885.297,22881.744,22878.334,22875.055,22871.904,22868.875,22865.963,22863.164,22860.47,22857.883,22855.393,22853.0,22850.7,22848.486,22846.363,22844.32,22842.36,22840.479,22838.674,22836.941,22835.283,22833.693,22832.172,22830.717,22829.326,22827.996,22826.729,22825.52,22824.367,22823.271,22822.23,22821.24,26244.0,27744.0,28104.0,26600.0,24712.0,23232.0,22080.0,21256.0,20732.0,20720.0,21584.0,24916.0,27104.0,28184.0,29132.0,28564.0,27764.0,27940.0,27968.0,27392.0,27040.0,27536.0,28260.0,29072.0,29716.0,30852.0,30156.0,27524.0,25040.0,24320.0,23284.0,22476.0,22148.0,22096.0,22960.0,25688.0,27612.0,28344.0,28636.0,28172.0,27796.0,27952.0,28340.0,27756.0,27180.0,27816.0,29008.0,29472.0,30392.0,31964.0,31248.0,28420.0,26068.0,25032.0,23876.0,23072.0,22564.0,22560.0,23244.0,25976.0,27908.0,28868.0,28756.0,28672.0,28940.0,29456.0,29568.0,29228.0,28892.0,29328.0,30320.0,31220.0
